"date","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V2","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V3","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V4","V40","V41","V42","V43","V5","V6","V7","V8","V9"
1985-04-01,119.4,41.3,160.7,234.3,62.8,25.3,51.1,76,215.2,73.2,366.6,94.3,167.4,1521.9,347.2,22.3,40.3,409.8,66.3,67.3,68,47.3,201.6,113,31,144,135,47.3,18.8,36.8,39.6,142.4,73.1,42.5,55.9,98.4,1131.4,487,81.8,103.6,71.9,257.3
1985-05-01,147.1,49.8,196.9,282.3,66,29.7,57.9,86.1,239.8,85.4,391,96.3,181.7,1716.5,367.1,22.4,41.9,431.5,78.5,86,70.5,48.2,235,136.6,35.6,172.2,159.5,51.9,21.5,43.2,42.6,159.2,78.3,45.7,56,101.8,1259.2,517.4,92.5,122.3,83.6,298.4
1985-06-01,117,40.9,157.9,217.6,57.5,26.2,57.2,75.2,216.1,75.7,369.4,92.2,167.9,1507.1,337.7,20.8,38.4,396.9,68,72.7,59.3,45.2,200,116.1,29.6,145.7,129.7,43.9,18.8,39.3,36.9,139,73.2,41.1,49.7,90.8,1102.2,487.9,83.3,107.8,68.8,259.8
1985-07-01,125.4,43.2,168.6,247.5,64.6,30.4,59.9,83.4,238.2,88.2,423.8,96.7,184.9,1679.4,344.2,20.7,41.7,406.6,77.5,74.8,60.5,47.3,212.8,116.4,31.1,147.5,135,50.7,20.6,40,40.2,151.5,78.8,46.2,52.1,98.3,1151.6,549.9,94,124.5,71.8,290.3
1985-08-01,119.7,42.7,162.3,226.4,67.5,29,60.7,85.3,242.4,85.4,401.9,100.2,185.6,1637.4,363.5,21.8,44.3,429.5,79.3,81.9,61.8,50.3,223,115.8,30.9,146.7,138.7,52,22.4,41.3,42.4,158.1,80.7,50.6,56.4,107,1203,532.9,91.5,116.8,79.4,287.7
1985-09-01,115.4,42.7,158.1,216.9,62.4,27.7,57.7,81.3,229.1,82.6,388.6,100.2,182.8,1577.6,343.6,21.9,42.7,408.2,78.1,76.3,57,48.5,211.4,109.8,29.6,139.4,127.5,52.1,20.9,36.7,40.1,149.9,77.5,47.2,56,103.2,1139.5,514.6,90.3,109.8,76,276.1
1985-10-01,142.3,52.5,194.9,255.1,66.2,30.7,59.5,93.9,250.3,93.5,420,106.6,200.1,1764.1,382.8,23.4,46.8,452.9,98,81.1,80.4,52.2,259.5,127.9,34.7,162.6,145,50.6,22.9,41.9,46.4,161.9,86,52.1,59.6,111.8,1293.8,558.1,91.3,117.3,97,305.6
1985-11-01,155.7,57.6,213.3,279.5,70,32.8,62,104.7,269.5,95,422.5,112.9,208,1900,385.9,24.9,47.6,458.4,100.8,85.6,88.5,55,274.9,133.2,35.7,168.9,158.8,54,23.5,44.3,49.1,170.9,87.4,52.9,59.4,112.3,1344.1,565,102.9,135.1,126.8,364.8
1985-12-01,202.9,74.8,277.7,480.5,85,41.3,73.2,143.8,343.2,107.8,481.3,121.5,229.4,2509.5,417,32.4,50.9,500.2,109.4,117.6,138.8,70.3,365.8,184,48.8,232.8,276,71.1,30.1,61.4,66.3,228.8,98.2,64,62.8,126.8,1730.4,649.8,116,191.8,221.2,529
1986-01-01,118.5,47.9,166.4,238,65.4,28.4,58,88.5,240.3,85.1,420.7,111.2,196.3,1684.3,373.7,25.8,46.4,445.9,84.1,80,76.4,54.8,240.5,98.3,30.2,128.4,126.3,58.4,21.9,42.2,46.1,168.7,85.4,49.7,64.1,113.8,1223.7,561,78,114,90.3,282.2
1986-02-01,100.1,40.1,140.2,177.7,70.2,26.3,53.9,85.2,235.6,80.1,392.9,97.8,177.9,1516.2,359.2,24.7,44.1,428,78.4,72.1,76.1,49,226.6,92.7,28.3,121,112.4,61.1,20.4,42.7,45.4,169.5,76.5,47.2,57.2,104.4,1161.9,518.5,73.3,103.2,89.8,266.4
1986-03-01,105.9,41.5,147.4,214.7,64.2,27.1,54.9,86.2,232.4,82,419.4,105.3,187.3,1611.5,389.4,26.9,45.7,462,76.4,72.9,75.6,53.7,224.9,99.2,28.5,127.7,128.2,52.8,20.9,43,44.4,161.2,83.7,48.5,61.2,109.7,1213.7,556.7,76.6,106.8,89.6,273
1986-04-01,123.8,48.3,172.1,227.8,65.5,29.8,58.8,92.4,246.5,96.8,415,109.2,206,1681,384.7,23.5,45.7,453.9,87.1,91.5,74.8,51.4,253.4,132.7,36.3,169,141.5,53.1,23.8,47.2,46,170.1,84.9,51.9,58.3,110.2,1298.2,551.3,82.5,102.9,91.9,277.2
1986-05-01,158.2,56.7,214.8,302.7,68.3,34.4,62.3,100.9,266,110.2,440,112.8,223,1898.1,414.1,24.2,47.3,485.6,102.5,109.9,79.4,50.7,291.8,145.7,39.9,185.6,170,56,26.8,46.3,49.4,178.5,91.9,56.6,61.5,118,1429.5,582.7,91.6,121.2,96,308.8
1986-06-01,129.3,48.1,177.4,218.1,60.3,29.9,59,90.1,239.3,94.2,418.8,106.1,200.3,1664.2,384.5,22.4,44.2,451.1,89,91.8,71.9,47.4,252.7,115.8,31.9,147.7,123.1,48,23.2,43.1,43.7,158,86.7,50.3,57.9,108.2,1240.8,552.9,77.7,109.2,89.3,276.2
1986-07-01,129.1,50.3,179.3,265.1,69.6,35.2,63.4,96.1,264.3,109.5,451.9,106.3,215.8,1814.5,394.8,22.5,47.7,464.9,96.8,95.7,77.7,48.3,270.1,126.3,37.4,163.6,154.9,49.1,25.8,44.7,47.7,167.2,90.5,57.5,65.9,123.5,1344.3,590.7,86.1,133.7,79.4,299.2
1986-08-01,120.3,48.2,168.6,225.9,69.2,33.6,63.2,97.2,263.3,105.1,446.2,110.9,216,1766.5,387,23.9,48.9,459.8,98.5,102,81.9,52.6,282.4,118.8,35.4,154.2,134.3,47.9,26.8,46,49.1,169.8,91.3,59.7,72,131.7,1332.2,590.2,86,127.5,89.1,302.6
1986-09-01,126.9,50.6,177.5,256.6,70.2,33.5,62,96.8,262.5,105.6,444.3,108.3,213.9,1790.7,388.3,23.6,48.1,460,94.6,86,80.2,51.8,260.8,115.9,35.7,151.6,148.6,48.5,26,43.8,48.7,167,89.6,61.2,71.7,132.9,1320.8,585.8,82.9,123.5,88.1,294.5
1986-10-01,141.9,57.1,199,261.9,72.3,34,64,107.7,278,110.4,458.6,114.2,224.6,1901.8,428.3,24.7,51.9,504.9,104.4,93,97.9,57.4,295.4,128,38.9,166.9,147.8,54.9,28,52.9,55.2,191.1,93,65.7,77.1,142.8,1448.8,609,94.6,117.9,116.8,329.3
1986-11-01,141.4,56,197.4,285.4,73.3,34.4,61.5,110.9,280.2,110,454.7,118.4,228.4,1943.2,413.7,26.9,51.2,491.7,101.2,90.5,106.1,56.8,297.8,129.3,38.6,167.9,151.1,55.5,26.9,50.7,55.9,189,92.3,62.7,75.6,138.3,1435.8,603.8,94.9,124.6,128.6,348
1986-12-01,206.9,81,287.9,542.4,98.7,46.4,76.3,161,382.4,136.6,528.1,135.6,272.2,2732.9,471.4,34.2,57.5,563.2,117.4,130,173.5,73.3,420.9,196.1,56.4,252.5,317.5,77.8,35.2,68.8,78.9,260.7,107.4,77.5,82,159.5,1974.3,708.8,115.7,188,235.4,539.2
1987-01-01,111.6,50,161.7,239.7,65,30.8,66.3,98.1,260.2,99.2,466.4,118.6,217.9,1790.4,420.1,28.1,51.9,500.1,93.2,81.4,93.8,59.5,268.4,106.8,35.6,142.4,137.3,58.9,23.7,46.9,51.7,181.2,91.2,55.4,83.5,138.9,1368.4,617.1,78.1,111.9,103.9,293.9
1987-02-01,99.6,43.4,143,202.5,78.5,28.3,61.3,94.5,262.5,91.1,430.5,110.2,201.3,1659.8,396.5,25.9,49.1,471.5,87.2,77.6,87.7,53.9,252.5,99.8,33.2,133,116,56.3,23.2,45.4,49.4,174.3,87,54.7,76.2,130.9,1278.1,571.5,78.4,103.3,97.3,278.9
1987-03-01,116.5,46.7,163.3,234.1,75.9,30.8,61.6,97.7,266.1,98.8,447.7,111.2,210,1762.6,423,26.4,50.5,499.9,93.1,82.1,92,56.2,267.2,120.9,37.2,158.1,141.8,53.7,25,47.8,51.3,177.7,88.9,58.4,77.9,136.3,1381,592.8,84.9,113.5,97.9,296.3
1987-04-01,135.6,51.3,186.9,247.7,74.2,32.2,64.1,99.3,269.9,102.1,455.5,112.2,214.3,1825.4,417.4,25.5,52.5,495.4,88.3,84.5,84.8,57.3,257.5,128.5,39.2,167.7,164.6,54.3,25.6,49,50.6,179.5,91.4,59.7,83,142.7,1407.4,604.2,85.6,119.6,97.2,302.4
1987-05-01,157.6,57.1,214.7,263.3,76.7,35.5,67.8,106.3,286.2,110.5,459.8,112.2,222.7,1926.6,414.6,25.4,53.8,493.8,95.7,95,89.4,55.1,280.1,138.4,42.5,181,173.8,55.7,26.9,54.3,52.7,189.7,93.2,61.1,83.1,144.2,1462.6,608.2,90,134.9,106.5,331.5
1987-06-01,138.4,51.1,189.5,260.4,73.4,34.8,66.6,98.5,273.3,106.1,443.2,110.4,216.4,1839.2,396.5,24,52.5,473.1,89.9,90.7,79,52.7,259.6,126.1,37.3,163.5,159.5,54.2,25,52.2,48.7,180.2,91.3,56.1,81.8,137.9,1373.8,587.1,85.3,139,88.2,312.5
1987-07-01,145.3,54.1,199.3,277.4,85.1,35.7,68.2,107.1,296.1,113.7,460.1,122,235.6,1953.9,423.4,26.4,53.7,503.6,103.7,98.4,88.7,57.2,290.7,137.9,41.3,179.2,168,56.1,28,51,53.4,188.6,98.5,63.9,85.1,149,1479.1,615.9,98.7,133.1,97.7,329.5
1987-08-01,129.7,48.8,178.5,232.7,82.3,34.4,67.8,105.9,290.4,111.4,463.6,120.3,231.7,1870.7,404.8,26.4,52.3,483.5,100,95.3,96.2,56.8,291.5,124,37.4,161.4,136.2,55.6,27,53.3,53.8,189.5,97.4,61.4,85,146.4,1408.5,617.8,94.4,125,100.2,319.5
1987-09-01,145,54,199.1,251.8,80.3,34.6,70,108.5,293.4,111.1,459.8,122.8,234,1923.2,404.5,27.7,52.4,484.6,101.2,88.9,107.5,57.9,297.7,128.3,38.8,167.1,155.1,55.7,26.2,53.5,55.6,191.1,97.3,60.7,85.7,146.4,1441.9,615,92.8,126.4,110.8,330
1987-10-01,152.7,58.3,211,261.1,80,35.9,69.9,117.1,302.9,111,478.9,124.1,235.1,2034.3,445.3,28.6,55.2,529.1,112.8,92.8,112,64.3,317.5,135.6,42.4,178,166.8,55.4,28.4,57.6,58.5,199.8,99.8,66.4,90.9,157.3,1548.6,643,104.2,139.8,137.3,381.2
1987-11-01,149.9,58.5,208.4,295.2,78.4,37,71.6,121.4,308.4,114.1,478.7,125,239.1,2092.9,425.8,28.5,53.1,507.4,104.1,95.9,117.9,63.6,317.8,137.3,42.4,179.7,161.1,54.9,29.1,56.1,59.9,200.1,96.9,67.9,87.4,155.3,1521.4,639.2,106.2,145.8,150.5,402.5
1987-12-01,219.5,82.6,302,540.3,98.9,51.3,86.2,170.1,406.6,145.5,565.4,135.4,280.9,2888.1,521,38.7,62.9,622.5,120.5,144.8,198.5,82.5,463.8,202.3,61.8,264.1,362.3,76,38.4,72.3,86.1,272.7,111.3,83.3,103.2,186.5,2172,759.2,125.1,225.2,248.8,599.1
1988-01-01,127.5,53.1,180.6,225.3,71.8,32.9,70.9,109,284.6,102,479.2,132.3,234.4,1924,415.3,31,50.9,497.1,83.4,87.6,93.3,67.8,264.3,101.5,36.5,138,147.2,54.6,24.4,53.4,51.1,183.5,100.1,55.9,87.4,143.3,1373.4,647.1,94.8,130.6,126.6,352
1988-02-01,125.3,51,176.3,219,88.2,34.3,66.6,110.7,299.7,106.6,467.2,121.1,227.7,1899.4,419.1,27.9,51.9,498.9,91.3,89.7,103.6,59.8,284.6,115.5,38.8,154.3,122.1,52.2,25.7,52.3,53.8,184,95,59,87.7,146.7,1390.6,622,98.9,136.4,119.4,354.7
1988-03-01,140.7,53.4,194.1,252.2,89,37,68.5,115.5,310.1,111.9,501.1,129.5,241.4,2039.8,467.1,29.1,56.1,552.3,96,94.6,105.6,64.6,296.2,126.1,40.9,167,161.7,54.2,28.7,59,57.4,199.2,101.4,67.1,92.5,159.6,1536.1,667.1,99.5,151.7,123.6,374.8
1988-04-01,145.5,53.2,198.7,259.7,73,34.8,68.9,105.7,282.4,106.4,484.6,124.3,230.8,1948,440.5,28,56,524.5,91.7,92.2,98.2,62.4,282.1,131.2,42.7,173.9,172.3,48.8,27.4,53.3,53.8,183.2,96.2,63.3,95.3,158.7,1494.6,643.2,83.5,140.9,108.8,333.2
1988-05-01,157.1,57.1,214.2,271.5,80.3,38.6,71.3,114.3,304.5,114.8,481.2,126.5,241.2,2051.2,430.4,26.2,54.7,511.3,107.9,104.6,103.8,59.6,316.3,146.9,46.5,193.4,177.5,52.6,28.4,55.8,55.8,192.6,97.8,62.9,88.8,151.7,1542.8,638.6,96.8,163.4,121,381.2
1988-06-01,149.4,53.3,202.7,252.1,75.3,37,77.4,107.5,297.2,113.2,482.9,123.5,236.7,1980.9,439.1,25.8,56,520.8,101.9,101.7,102.1,56.4,305.7,140.8,42.4,183.1,177.9,49.2,27.7,57.2,52.4,186.6,91.3,65.4,90.3,155.7,1529.9,630.6,97.7,150,113.9,361.6
1988-07-01,142.7,53.2,195.9,256.6,74.2,38.1,78.5,108.8,299.5,128.3,479.2,125.6,253.9,1985.4,440.6,28.5,54,523.2,93.2,100.6,111.9,54.1,305.7,134.6,39.3,173.9,153.4,46.8,27.8,54.9,50.2,179.7,94.6,68.5,85.5,154,1489.9,627.9,94.1,146.5,110.9,351.5
1988-08-01,139.1,50.2,189.3,238.2,76.7,37.3,86.7,109.6,310.2,122.7,494.5,124.8,247.5,1997.5,457,28.2,57,542.3,100.3,100.7,109.9,52.9,310.9,135.8,37.9,173.7,150,51.3,28.4,61.5,53.9,195.1,95.4,68.7,91.2,159.9,1531.7,642.8,96.3,149,124.3,369.6
1988-09-01,159.5,59.8,219.3,266.5,75.7,39.3,88.1,118.4,321.6,121.2,508.6,121.7,242.9,2078.8,473.5,31,57.8,562.2,93,103.5,98.1,59.4,294.7,148.8,41.1,189.9,164.9,46.3,29.4,55.3,54.3,185.2,98.3,67,98.4,165.3,1562.2,666.3,102.6,141,118.5,362.2
1988-10-01,158.9,62.5,221.5,268.4,80.5,39.5,87.5,125.5,333,126.9,509.2,125.8,252.7,2131.5,474.9,29.7,57.9,562.4,98,105.6,113.9,63.9,317.5,154.9,44.6,199.5,167.4,47.6,31.6,59.5,60.3,198.9,101.4,68.7,99.1,167.8,1613.6,674.5,103.7,133.8,143.9,381.4
1988-11-01,169,69.4,238.5,318.5,90.4,46.7,86.2,151.8,375.2,148,535.8,126.2,274.2,2352.8,493.7,34.5,59.4,587.6,101.9,117.4,120.7,67.1,340,150.4,45.6,196,204.5,53.7,38.2,61,66.9,219.8,100.7,71.5,104.9,176.4,1724.3,703.5,109.7,161.1,172.1,442.9
1988-12-01,241.9,104.9,346.9,581.8,100.1,68.1,109.3,232.4,510,165.3,627.7,136.1,301.4,3252.4,580.2,51.3,64.9,696.4,117.1,173.8,191.6,99,482.6,204.5,68.5,273,387.9,66.8,53.8,85.4,107.8,313.7,120.3,77.8,108.4,186.2,2339.7,847,132.8,225.3,307.4,665.5
